sector_code,category_code,category_name,activity_data_type,value,unit,year,source,collection_method,uncertainty_percent,notes
1,1A1a,Public Electricity and Heat Production,Fuel Consumption - Coal,,,2024,National Energy Statistics,Official Statistics,,
1,1A1a,Public Electricity and Heat Production,Fuel Consumption - Natural Gas,,,2024,National Energy Statistics,Official Statistics,,
1,1A1a,Public Electricity and Heat Production,Fuel Consumption - Oil,,,2024,National Energy Statistics,Official Statistics,,
1,1A2,Manufacturing Industries and Construction,Fuel Consumption - Coal,,,2024,Industry Survey,Survey,,
1,1A2,Manufacturing Industries and Construction,Fuel Consumption - Natural Gas,,,2024,Industry Survey,Survey,,
1,1A3a,Domestic Aviation,Jet Kerosene,,,2024,Civil Aviation Authority,Administrative Records,,
1,1A3b,Road Transportation,Gasoline,,,2024,Energy Balance,Official Statistics,,
1,1A3b,Road Transportation,Diesel,,,2024,Energy Balance,Official Statistics,,
1,1A4a,Commercial/Institutional,Natural Gas,,,2024,Utility Records,Administrative Records,,
1,1A4b,Residential,LPG,,,2024,Household Survey,Survey,,
1,1A4b,Residential,Biomass,,,2024,Household Survey,Survey,,
1,1B2a,Oil Production,Crude Oil Production,,,2024,Ministry of Energy,Official Statistics,,
1,1B2b,Natural Gas Systems,Natural Gas Production,,,2024,Ministry of Energy,Official Statistics,,
2,2A1,Cement Production,Clinker Production,,,2024,Industry Association,Administrative Records,,
2,2C1,Iron and Steel Production,Steel Production,,,2024,Industry Association,Administrative Records,,
3,3A1,Enteric Fermentation - Cattle,Cattle Population,,,2024,Agricultural Census,Survey,,
3,3A2,Manure Management,Cattle in Confined Systems,,,2024,Agricultural Census,Survey,,
3,3B,Rice Cultivation,Rice Harvested Area,,,2024,Agricultural Statistics,Official Statistics,,
3,3C,Agricultural Soils,Synthetic Fertilizer Application,,,2024,Import/Sales Records,Administrative Records,,
4,4A,Forest Land,Forest Area,,,2024,National Forest Inventory,Remote Sensing + Ground Truth,,
4,4B,Cropland,Cropland Area,,,2024,Land Use Survey,Remote Sensing,,
4,4C,Grassland,Grassland Area,,,2024,Land Use Survey,Remote Sensing,,
5,5A,Solid Waste Disposal,Waste Disposed to SWDS,,,2024,Municipal Records,Administrative Records,,
5,5B,Biological Treatment,Waste Composted,,,2024,Municipal Records,Administrative Records,,
5,5D,Wastewater Treatment,Population with Wastewater Treatment,,,2024,Census,Official Statistics,,
